   x    v    u    error 
     0.03720      0.27343      0.27343     -7.07441 
     0.03730      0.27401      0.27401     -7.07441 
     0.03740      0.27460      0.27460     -7.07441 
     0.03750      0.27519      0.27519     -7.07440 
     0.03760      0.27578      0.27578     -7.07440 
     0.03770      0.27636      0.27636     -7.07440 
     0.03780      0.27695      0.27695     -7.07440 
     0.03790      0.27753      0.27753     -7.07439 
     0.03800      0.27812      0.27812     -7.07439 
     0.03810      0.27870      0.27870     -7.07439 
     0.03820      0.27928      0.27928     -7.07439 
     0.03830      0.27987      0.27987     -7.07438 
     0.03840      0.28045      0.28045     -7.07438 
     0.03850      0.28103      0.28103     -7.07438 
     0.03860      0.28161      0.28161     -7.07438 
     0.03870      0.28219      0.28219     -7.07437 
     0.03880      0.28277      0.28277     -7.07437 
     0.03890      0.28334      0.28335     -7.07437 
     0.03900      0.28392      0.28392     -7.07437 
     0.03910      0.28450      0.28450     -7.07436 
     0.03920      0.28508      0.28508     -7.07436 
     0.03930      0.28565      0.28565     -7.07436 
     0.03940      0.28623      0.28623     -7.07435 
     0.03950      0.28680      0.28680     -7.07435 
     0.03960      0.28737      0.28737     -7.07435 
     0.03970      0.28795      0.28795     -7.07435 
     0.03980      0.28852      0.28852     -7.07434 
     0.03990      0.28909      0.28909     -7.07434 
     0.04000      0.28966      0.28966     -7.07434 
     0.04010      0.29023      0.29023     -7.07434 
     0.04020      0.29080      0.29080     -7.07433 
     0.04030      0.29137      0.29137     -7.07433 
     0.04040      0.29193      0.29193     -7.07433 
     0.04050      0.29250      0.29250     -7.07433 
     0.04060      0.29307      0.29307     -7.07432 
     0.04070      0.29363      0.29363     -7.07432 
     0.04080      0.29420      0.29420     -7.07432 
     0.04090      0.29476      0.29476     -7.07432 
     0.04100      0.29533      0.29533     -7.07431 
     0.04110      0.29589      0.29589     -7.07431 
     0.04120      0.29645      0.29645     -7.07431 
     0.04130      0.29702      0.29702     -7.07431 
     0.04140      0.29758      0.29758     -7.07430 
     0.04150      0.29814      0.29814     -7.07430 
     0.04160      0.29870      0.29870     -7.07430 
     0.04170      0.29926      0.29926     -7.07429 
     0.04180      0.29982      0.29982     -7.07429 
     0.04190      0.30037      0.30037     -7.07429 
     0.04200      0.30093      0.30093     -7.07429 
     0.04210      0.30149      0.30149     -7.07428 
     0.04220      0.30204      0.30204     -7.07428 
     0.04230      0.30260      0.30260     -7.07428 
     0.04240      0.30315      0.30315     -7.07428 
     0.04250      0.30371      0.30371     -7.07427 
     0.04260      0.30426      0.30426     -7.07427 
     0.04270      0.30481      0.30481     -7.07427 
     0.04280      0.30537      0.30537     -7.07427 
     0.04290      0.30592      0.30592     -7.07426 
     0.04300      0.30647      0.30647     -7.07426 
     0.04310      0.30702      0.30702     -7.07426 
     0.04320      0.30757      0.30757     -7.07426 
     0.04330      0.30812      0.30812     -7.07425 
     0.04340      0.30867      0.30867     -7.07425 
     0.04350      0.30921      0.30921     -7.07425 
     0.04360      0.30976      0.30976     -7.07424 
     0.04370      0.31031      0.31031     -7.07424 
     0.04380      0.31085      0.31085     -7.07424 
     0.04390      0.31140      0.31140     -7.07424 
     0.04400      0.31194      0.31194     -7.07423 
     0.04410      0.31249      0.31249     -7.07423 
     0.04420      0.31303      0.31303     -7.07423 
     0.04430      0.31357      0.31357     -7.07423 
     0.04440      0.31411      0.31411     -7.07422 
     0.04450      0.31465      0.31465     -7.07422 
     0.04460      0.31519      0.31519     -7.07422 
     0.04470      0.31573      0.31573     -7.07422 
     0.04480      0.31627      0.31627     -7.07421 
     0.04490      0.31681      0.31681     -7.07421 
     0.04500      0.31735      0.31735     -7.07421 
     0.04510      0.31789      0.31789     -7.07421 
     0.04520      0.31842      0.31842     -7.07420 
     0.04530      0.31896      0.31896     -7.07420 
     0.04540      0.31950      0.31950     -7.07420 
     0.04550      0.32003      0.32003     -7.07419 
     0.04560      0.32056      0.32056     -7.07419 
     0.04570      0.32110      0.32110     -7.07419 
     0.04580      0.32163      0.32163     -7.07419 
     0.04590      0.32216      0.32216     -7.07418 
     0.04600      0.32269      0.32269     -7.07418 
     0.04610      0.32322      0.32322     -7.07418 
     0.04620      0.32376      0.32376     -7.07418 
     0.04630      0.32428      0.32428     -7.07417 
     0.04640      0.32481      0.32481     -7.07417 
     0.04650      0.32534      0.32534     -7.07417 
     0.04660      0.32587      0.32587     -7.07417 
     0.04670      0.32640      0.32640     -7.07416 
     0.04680      0.32692      0.32692     -7.07416 
     0.04690      0.32745      0.32745     -7.07416 
     0.04700      0.32798      0.32798     -7.07415 
     0.04710      0.32850      0.32850     -7.07415 
     0.04720      0.32902      0.32902     -7.07415 
     0.04730      0.32955      0.32955     -7.07415 
     0.04740      0.33007      0.33007     -7.07414 
     0.04750      0.33059      0.33059     -7.07414 
     0.04760      0.33111      0.33111     -7.07414 
     0.04770      0.33163      0.33163     -7.07414 
     0.04780      0.33216      0.33216     -7.07413 
     0.04790      0.33267      0.33267     -7.07413 
     0.04800      0.33319      0.33319     -7.07413 
     0.04810      0.33371      0.33371     -7.07412 
     0.04820      0.33423      0.33423     -7.07412 
     0.04830      0.33475      0.33475     -7.07412 
     0.04840      0.33526      0.33526     -7.07412 
     0.04850      0.33578      0.33578     -7.07411 
     0.04860      0.33630      0.33630     -7.07411 
     0.04870      0.33681      0.33681     -7.07411 
     0.04880      0.33732      0.33732     -7.07411 
     0.04890      0.33784      0.33784     -7.07410 
     0.04900      0.33835      0.33835     -7.07410 
     0.04910      0.33886      0.33886     -7.07410 
     0.04920      0.33937      0.33937     -7.07410 
     0.04930      0.33989      0.33989     -7.07409 
     0.04940      0.34040      0.34040     -7.07409 
     0.04950      0.34091      0.34091     -7.07409 
     0.04960      0.34142      0.34142     -7.07408 
     0.04970      0.34192      0.34192     -7.07408 
     0.04980      0.34243      0.34243     -7.07408 
     0.04990      0.34294      0.34294     -7.07408 
     0.05000      0.34345      0.34345     -7.07407 
     0.05009      0.34395      0.34395     -7.07407 
     0.05019      0.34446      0.34446     -7.07407 
     0.05029      0.34496      0.34496     -7.07407 
     0.05039      0.34547      0.34547     -7.07406 
     0.05049      0.34597      0.34597     -7.07406 
     0.05059      0.34647      0.34647     -7.07406 
     0.05069      0.34698      0.34698     -7.07405 
     0.05079      0.34748      0.34748     -7.07405 
     0.05089      0.34798      0.34798     -7.07405 
     0.05099      0.34848      0.34848     -7.07405 
     0.05109      0.34898      0.34898     -7.07404 
     0.05119      0.34948      0.34948     -7.07404 
     0.05129      0.34998      0.34998     -7.07404 
     0.05139      0.35048      0.35048     -7.07404 
     0.05149      0.35098      0.35098     -7.07403 
     0.05159      0.35147      0.35147     -7.07403 
     0.05169      0.35197      0.35197     -7.07403 
     0.05179      0.35247      0.35247     -7.07402 
     0.05189      0.35296      0.35296     -7.07402 
     0.05199      0.35346      0.35346     -7.07402 
     0.05209      0.35395      0.35395     -7.07402 
     0.05219      0.35444      0.35444     -7.07401 
     0.05229      0.35494      0.35494     -7.07401 
     0.05239      0.35543      0.35543     -7.07401 
